date,account_id,institution,currency,native_balance,usd_balance,threshold_usd_value,balance_source,evidence_class,confidence,source_refs,notes,review_flags
2025-01-01,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9800000,2596.98,2596.975848,observed,transaction,high,fictional-orbit-q1.pdf:p1:l8,"Selected last monetary value on line: $9,800,000; ISO/date-first numeric date; Recognized source-bound COP Fecha Descripción Movimiento Tarjeta Débito Abono Saldo table; selected the final currency-marked Saldo value.; Whole-COP comma grouping accepted only in the confirmed, source-bound COP Saldo table context.",
2025-01-02,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9800000,2596.98,2596.975848,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-01-03,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9800000,2596.98,2596.975848,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-01-04,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,observed,transaction,high,fictional-orbit-q1.pdf:p1:l9,"Selected last monetary value on line: $9,876,543; ISO/date-first numeric date; Recognized source-bound COP Fecha Descripción Movimiento Tarjeta Débito Abono Saldo table; selected the final currency-marked Saldo value.; Whole-COP comma grouping accepted only in the confirmed, source-bound COP Saldo table context.",
2025-01-05,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-06,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-07,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-08,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-09,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-10,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-11,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-12,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-13,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-14,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-15,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-16,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-17,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-18,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-19,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-20,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
